ID,FPS,LOOPTYPE,,,,,,,,,,,
Idle,25,1,,,,,,,,,,,
,,,,,,,,,,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,graphics/zeroIdle.png,1,1,43,47,,아래 
graphics/zeroIdle.png,1,1,43,47,,,graphics/zeroIdle.png,46,1,43,47,,중간
graphics/zeroIdle.png,1,1,43,47,,,graphics/zeroIdle.png,91,1,42,48,,위
graphics/zeroIdle.png,1,1,43,47,,,graphics/zeroIdle.png,135,1,43,47,,눈감는중
graphics/zeroIdle.png,1,1,43,47,,,graphics/zeroIdle.png,180,1,43,47,,다감음
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,91,1,42,48,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,46,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,1,1,43,47,,,,,,,,,
graphics/zeroIdle.png,135,1,43,47,,,,,,,,,
graphics/zeroIdle.png,135,1,43,47,,,,,,,,,
graphics/zeroIdle.png,135,1,43,47,,,,,,,,,
graphics/zeroIdle.png,180,1,43,47,,,,,,,,,
graphics/zeroIdle.png,180,1,43,47,,,,,,,,,
graphics/zeroIdle.png,180,1,43,47,,,,,,,,,
